lat	lon	value	color
45.33016267	-95.69275081	0	#A9AE85
45.36469969	-95.69259228	2	#73A7CC
45.3992397	-95.6924336	0	#A9AE85
45.43378272	-95.69227475	0	#A9AE85
45.46832876	-95.69211573	0	#A9AE85
45.50287784	-95.69195655	0	#A9AE85
45.53742999	-95.69179721	0	#A9AE85
45.57198521	-95.6916377	0	#A9AE85
45.60654353	-95.69147802	0	#A9AE85
45.64110497	-95.69131818	0	#A9AE85
45.67566954	-95.69115818	2	#73A7CC
45.71023727	-95.69099801	2	#73A7CC
45.74480817	-95.69083767	0	#A9AE85
45.77938225	-95.69067716	2	#73A7CC
45.81395955	-95.69051649	0	#A9AE85
45.84854008	-95.69035566	2	#73A7CC
45.88312386	-95.69019465	0	#A9AE85
45.9177109	-95.69003348	0	#A9AE85
45.95230123	-95.68987214	0	#A9AE85
45.98689486	-95.68971063	0	#A9AE85
46.02149182	-95.68954895	2	#73A7CC
46.05609212	-95.68938711	0	#A9AE85
46.09069578	-95.68922509	2	#73A7CC
46.12530282	-95.68906291	2	#73A7CC
46.15991327	-95.68890055	2	#73A7CC
46.19452713	-95.68873803	0	#A9AE85
46.22914443	-95.68857534	2	#73A7CC
46.2637652	-95.68841248	0	#A9AE85
46.29838944	-95.68824944	2	#73A7CC
46.33301718	-95.68808624	0	#A9AE85
46.36764843	-95.68792287	0	#A9AE85
46.40228322	-95.68775932	0	#A9AE85
46.43692157	-95.6875956	2	#73A7CC
46.4715635	-95.68743171	1	#729565
46.50620902	-95.68726765	2	#73A7CC
46.54085816	-95.68710342	2	#73A7CC
46.57551094	-95.68693901	0	#A9AE85
46.61035939	-95.78669395	1	#729565
46.64501962	-95.78658176	0	#A9AE85
46.67968355	-95.78646944	2	#73A7CC
46.71435119	-95.78635701	1	#729565
46.74902257	-95.78624446	1	#729565
46.7836977	-95.78613179	2	#73A7CC
46.81837661	-95.786019	2	#73A7CC
46.85305932	-95.78590609	2	#73A7CC
46.88774585	-95.78579306	2	#73A7CC
46.92243621	-95.78567992	1	#729565
46.95713044	-95.78556665	0	#A9AE85
46.99182854	-95.78545327	0	#A9AE85
47.02653054	-95.78533976	2	#73A7CC
47.06123647	-95.78522614	0	#A9AE85
47.09594633	-95.78511239	0	#A9AE85
47.13066016	-95.78499852	1	#729565
47.16537797	-95.78488454	2	#73A7CC
47.20009978	-95.78477043	1	#729565
47.23482561	-95.7846562	2	#73A7CC
47.2695555	-95.78454185	2	#73A7CC
47.30428945	-95.78442737	0	#A9AE85
47.33902748	-95.78431278	0	#A9AE85
47.37376963	-95.78419806	0	#A9AE85
47.4085159	-95.78408323	0	#A9AE85
47.44326633	-95.78396827	2	#73A7CC
47.47802093	-95.78385318	0	#A9AE85
47.51277972	-95.78373798	0	#A9AE85
47.54754273	-95.78362265	0	#A9AE85
47.58230997	-95.7835072	0	#A9AE85
47.61708147	-95.78339162	0	#A9AE85
47.65185726	-95.78327593	2	#73A7CC
47.68663734	-95.7831601	2	#73A7CC
47.72142175	-95.78304416	0	#A9AE85
47.7562105	-95.78292809	2	#73A7CC
47.79100362	-95.7828119	0	#A9AE85
47.82580113	-95.78269558	0	#A9AE85
47.86060305	-95.78257913	0	#A9AE85
47.8954094	-95.78246257	0	#A9AE85
47.93022021	-95.78234587	0	#A9AE85
47.9650355	-95.78222905	2	#73A7CC
47.99985528	-95.78211211	0	#A9AE85
48.03467959	-95.78199504	0	#A9AE85
48.06950844	-95.78187785	1	#729565
48.10434186	-95.78176053	0	#A9AE85
48.13917986	-95.78164308	0	#A9AE85
48.17402248	-95.7815255	0	#A9AE85
48.20886973	-95.7814078	0	#A9AE85
48.24372164	-95.78128998	0	#A9AE85
48.27857823	-95.78117202	2	#73A7CC
48.31343952	-95.78105394	2	#73A7CC
48.34830554	-95.78093573	2	#73A7CC
48.3831763	-95.78081739	1	#729565
48.41805184	-95.78069893	0	#A9AE85
48.45293217	-95.78058033	0	#A9AE85
48.48781732	-95.78046161	2	#73A7CC
48.52270731	-95.78034276	0	#A9AE85
48.55760216	-95.78022378	2	#73A7CC
48.5925019	-95.78010468	2	#73A7CC
48.62740655	-95.77998544	2	#73A7CC
48.66231613	-95.77986607	0	#A9AE85
48.69723067	-95.77974658	0	#A9AE85
48.7321502	-95.77962695	0	#A9AE85
48.76707472	-95.77950719	2	#73A7CC
48.80200428	-95.77938731	2	#73A7CC
48.83693889	-95.77926729	2	#73A7CC
48.87187858	-95.77914714	2	#73A7CC
48.90682336	-95.77902687	2	#73A7CC
48.94177327	-95.77890646	2	#73A7CC
46.61027249	-95.73673412	0	#A9AE85
46.64493267	-95.73659565	2	#73A7CC
46.67959654	-95.73645703	2	#73A7CC
46.71426412	-95.73631826	1	#729565
46.74893544	-95.73617935	2	#73A7CC
46.78361052	-95.73604029	2	#73A7CC
46.81828938	-95.73590108	1	#729565
46.85297203	-95.73576173	2	#73A7CC
46.8876585	-95.73562223	1	#729565
46.92234881	-95.73548259	1	#729565
46.95704298	-95.73534279	1	#729565
46.99174103	-95.73520285	1	#729565
47.02644297	-95.73506276	1	#729565
47.06114884	-95.73492252	1	#729565
47.09585865	-95.73478213	1	#729565
47.13057242	-95.7346416	1	#729565
47.16529017	-95.73450091	1	#729565
47.20001193	-95.73436008	2	#73A7CC
47.23473771	-95.73421909	2	#73A7CC
47.26946753	-95.73407796	2	#73A7CC
47.30420142	-95.73393668	0	#A9AE85
47.3389394	-95.73379524	0	#A9AE85
47.37368149	-95.73365366	2	#73A7CC
47.40842771	-95.73351193	1	#729565
47.44317808	-95.73337004	2	#73A7CC
47.47793262	-95.733228	0	#A9AE85
47.51269135	-95.73308582	0	#A9AE85
47.5474543	-95.73294348	1	#729565
47.58222149	-95.73280098	0	#A9AE85
47.61699293	-95.73265834	0	#A9AE85
47.65176866	-95.73251554	0	#A9AE85
47.68654868	-95.7323726	2	#73A7CC
47.72133303	-95.73222949	1	#729565
