id,is_observed,obs,dur,dist,is_train
1457,t,0.1,0.1,0.0,t
1458,t,0.1,0.2,0.1,t
1459,f,0,0,0,t
1460,t,0.0,0.1,0.0,t
1461,t,0.0,0.1,0.1,t
1462,f,0,0,0,t
1463,t,0.0,0.1,0.0,t
1464,t,0.0,0.0,0.0,t
1465,t,0.0,0.1,0.0,t
1466,t,0.0,0.1,0.1,t
1467,f,0,0,0,t
1468,t,0.0,0.1,0.0,t
1469,t,0.0,0.0,0.0,t
1470,t,0.0,0.0,0.0,t
1471,t,0.0,0.1,0.0,t
1472,t,0.0,0.1,0.0,t
1473,t,0.1,0.1,0.0,t
1474,t,0.0,0.0,0.0,t
1475,f,0,0,0,t
1476,f,0,0,0,t
1477,t,0.0,0.0,0.0,t
1478,t,0.1,0.1,0.0,t
1489,t,0.0,0.0,0.0,t
1490,t,0.1,0.1,0.0,t
1491,t,0.0,0.1,0.0,t
1492,t,0.0,0.1,0.0,t
1493,t,0.0,0.1,0.0,t
1494,t,0.1,0.1,0.0,t
1495,t,0.1,0.2,0.0,t
1496,t,0.0,0.1,0.0,t
1497,t,0.1,0.1,0.0,t
1498,t,0.1,0.1,0.0,t
1499,f,0,0,0,t
1500,f,0,0,0,t
1501,f,0,0,0,t
1502,t,0.1,0.1,0.0,t
1503,f,0,0,0,t
1504,t,0.0,0.1,0.0,t
1505,t,0.0,0.1,0.0,t
1506,t,0.0,0.2,0.0,t
1507,t,0.1,0.1,0.0,t
1508,t,0.0,0.1,0.1,t
1519,f,0,0,0,t
1520,f,0,0,0,t
1521,f,0,0,0,t
1522,f,0,0,0,t
1523,f,0,0,0,t
1524,t,0.0,0.0,0.0,t
1525,t,0.1,0.1,0.0,t
1526,f,0,0,0,t
1527,t,0.0,0.1,0.0,t
1528,t,0.0,0.2,0.0,t
1529,t,0.0,0.2,0.0,t
1530,f,0,0,0,t
1531,f,0,0,0,t
1532,t,0.0,0.2,0.0,t
1533,t,0.0,0.1,0.0,t
1534,f,0,0,0,t
1535,f,0,0,0,t
1536,t,0.0,0.2,0.0,t
1537,t,0.0,0.0,0.0,t
1538,t,0.0,0.1,0.0,t
1539,t,0.0,0.2,0.2,t
1540,t,0.0,0.0,0.0,t
1541,t,0.0,0.2,0.1,t
1542,f,0,0,0,t
1543,f,0,0,0,t
1544,t,0.1,0.3,0.0,t
1545,t,0.0,0.1,0.0,t
1546,f,0,0,0,t
1547,t,0.1,0.2,0.0,t
1548,f,0,0,0,t
1549,f,0,0,0,t
1550,t,0.0,0.1,0.1,t
1551,f,0,0,0,t
1552,f,0,0,0,t
1553,t,0.0,0.1,0.0,t
1554,f,0,0,0,t
1555,f,0,0,0,t
1556,f,0,0,0,t
1567,f,0,0,0,t
1568,f,0,0,0,t
1569,f,0,0,0,t
1570,f,0,0,0,t
1571,f,0,0,0,t
1572,f,0,0,0,t
1573,f,0,0,0,t
1574,t,0.0,0.2,0.2,t
1575,t,0.0,0.2,0.0,t
1576,t,0.0,0.3,0.0,t
1577,f,0,0,0,t
1578,t,0.1,0.4,0.1,t
1579,f,0,0,0,t
1580,f,0,0,0,t
1581,f,0,0,0,t
1582,f,0,0,0,t
1583,f,0,0,0,t
1594,t,0.1,0.1,0.1,t
1595,t,0.0,0.1,0.0,t
1596,t,0.0,0.1,0.0,t
1597,f,0,0,0,t
1598,f,0,0,0,t
1599,f,0,0,0,t
1600,f,0,0,0,t
456,t,0.0,0.1,0.0,t
457,t,0.0,0.1,0.0,t
458,t,0.0,0.0,0.0,t
459,t,0.0,0.0,0.0,t
460,t,0.0,0.0,0.0,t
461,t,0.0,0.1,0.0,t
462,t,0.1,0.1,0.0,t
463,t,0.0,0.1,0.0,t
464,f,0,0,0,t
465,f,0,0,0,t
466,f,0,0,0,t
467,t,0.1,0.1,0.0,t
468,f,0,0,0,t
469,f,0,0,0,t
470,f,0,0,0,t
471,f,0,0,0,t
472,f,0,0,0,t
473,t,0.0,0.1,0.0,t
474,t,0.1,0.0,0.0,t
475,t,0.2,0.2,0.0,t
476,f,0,0,0,t
477,t,0.0,0.0,0.0,t
478,t,0.0,0.1,0.0,t
479,f,0,0,0,t
480,t,0.0,0.2,0.0,t
481,f,0,0,0,t
482,f,0,0,0,t
483,t,0.0,0.1,0.0,t
484,t,0.1,0.1,0.0,t
485,t,0.0,0.0,0.0,t
486,f,0,0,0,t
487,t,0.0,0.1,0.0,t
488,t,0.0,0.3,0.0,t
489,f,0,0,0,t
490,t,0.1,0.3,0.0,t
491,t,0.0,0.1,0.0,t
492,f,0,0,0,t
493,f,0,0,0,t
494,f,0,0,0,t
495,f,0,0,0,t
496,t,0.3,0.4,0.0,t
497,t,0.0,0.1,0.0,t
498,t,0.0,0.1,0.0,t
499,t,0.0,0.2,0.0,t
500,f,0,0,0,t
501,f,0,0,0,t
502,f,0,0,0,t
503,f,0,0,0,t
504,f,0,0,0,t
505,f,0,0,0,t
506,f,0,0,0,t
507,t,0.0,0.1,0.0,t
508,t,0.1,0.0,0.0,t
509,t,0.1,0.0,0.0,t
510,t,0.0,0.2,0.0,t
511,t,0.0,0.0,0.0,t
512,t,0.0,0.2,0.0,t
513,f,0,0,0,t
514,t,0.0,0.3,0.0,t
515,f,0,0,0,t
516,f,0,0,0,t
517,f,0,0,0,t
518,t,0.0,0.1,0.0,t
519,t,0.0,0.1,0.0,t
520,f,0,0,0,t
521,f,0,0,0,t
522,f,0,0,0,t
523,t,0.1,0.2,0.0,t
524,t,0.0,0.1,0.0,t
525,f,0,0,0,t
526,f,0,0,0,t
527,f,0,0,0,t
528,f,0,0,0,t
529,f,0,0,0,t
530,t,0.0,0.2,0.0,t
531,t,0.0,0.1,0.0,t
532,f,0,0,0,t
533,t,0.0,0.0,0.0,t
534,t,0.0,0.0,0.0,t
535,f,0,0,0,t
536,f,0,0,0,t
537,f,0,0,0,t
538,f,0,0,0,t
539,f,0,0,0,t
540,t,0.0,0.1,0.0,t
541,t,0.0,0.2,0.0,t
542,t,0.1,0.2,0.0,t
543,t,0.0,0.2,0.0,t
544,t,0.0,0.1,0.0,t
545,t,0.0,0.1,0.0,t
546,t,0.1,0.1,0.0,t
553,t,0.3,0.1,0.0,t
554,t,0.0,0.1,0.0,t
555,t,0.0,0.1,0.0,t
556,t,0.0,0.0,0.0,t
557,f,0,0,0,t
558,f,0,0,0,t
559,t,0.0,0.2,0.0,t
560,f,0,0,0,t
561,f,0,0,0,t
562,t,0.0,0.0,0.0,t
563,t,0.1,0.1,0.0,t
564,f,0,0,0,t
565,f,0,0,0,t
566,t,0.0,0.0,0.0,t
567,t,0.0,0.0,0.0,t
568,f,0,0,0,t
569,t,0.0,0.0,0.0,t
570,f,0,0,0,t
571,t,0.0,0.0,0.0,t
572,t,0.0,0.4,0.0,t
573,f,0,0,0,t
574,f,0,0,0,t
575,t,0.0,0.0,0.0,t
576,f,0,0,0,t
577,t,0.0,0.1,0.0,t
578,f,0,0,0,t
579,f,0,0,0,t
580,f,0,0,0,t
581,f,0,0,0,t
582,f,0,0,0,t
583,f,0,0,0,t
584,f,0,0,0,t
585,t,0.1,0.1,0.0,t
586,t,0.0,0.1,0.0,t
588,f,0,0,0,t
589,f,0,0,0,t
590,t,0.0,0.0,0.0,t
591,t,0.0,0.2,0.0,t
603,f,0,0,0,t
604,t,0.0,0.0,0.0,t
605,f,0,0,0,t
606,f,0,0,0,t
236,t,0.1,0.1,0.0,t
237,t,0.0,0.2,0.0,t
238,t,0.0,0.2,0.0,t
239,t,0.4,0.1,0.0,t
240,f,0,0,0,t
241,t,0.0,0.2,0.0,t
242,f,0,0,0,t
243,t,0.0,0.1,0.0,t
244,t,0.0,0.1,0.0,t
245,t,0.0,0.0,0.0,t
246,t,0.0,0.1,0.1,t
247,f,0,0,0,t
248,f,0,0,0,t
249,t,0.0,0.2,0.0,t
250,t,0.0,0.1,0.0,t
251,t,0.0,0.1,0.0,t
252,f,0,0,0,t
253,t,0.1,0.1,0.0,t
254,t,0.0,0.1,0.0,t
255,f,0,0,0,t
256,f,0,0,0,t
257,t,0.0,0.2,0.0,t
258,f,0,0,0,t
259,t,0.0,0.1,0.0,t
260,t,0.0,0.0,0.0,t
261,t,0.0,0.0,0.0,t
262,t,0.0,0.0,0.0,t
263,f,0,0,0,t
264,t,0.0,0.1,0.0,t
265,t,0.0,0.1,0.0,t
266,t,0.0,0.0,0.0,t
267,t,0.1,0.1,0.0,t
268,t,0.1,0.1,0.0,t
269,f,0,0,0,t
270,t,0.0,0.2,0.0,t
271,t,0.0,0.1,0.0,t
272,t,0.1,0.0,0.0,t
273,t,0.0,0.0,0.0,t
274,t,0.0,0.1,0.0,t
275,f,0,0,0,t
276,t,0.1,0.1,0.0,t
